goto:administration, 733, 886, 1036, 2161
goto:newUser, 523, 845
action:saveNewUser, 1540, 1568
action:search, 857, 877
action:newForumSave, 2791, 2251
action:newSubmissionRejectRevision, 654, 801
action:logOut, 2716, 659
action:newForumAddEditor, 943, 1103
action:newSubmissionSubmit, 6104, 3641
action:login, 1009, 1619, 1009, 882
goto:register, 2325, 570
goto:homepage, 923, 775
goto:forum, 692, 461
goto:newForum, 940, 3109
action:newSubmissionRevision, 2064, 2752
action:newSubmissionReleaseRevision, 786, 810
goto:forumList, 868, 916
action:forumDelete, 486, 333
goto:newSubmission, 1716, 1436
goto:profile, 788, 554, 1210, 896, 1855, 1309
callPage, 1054, 1011, 633, 878, 1108, 707
action:register, 1076, 795
action:profileSave, 3324, 1501
action:profileDelete, 508, 417, 1357, 715
